@relation arA-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N4-F4-weka.filters.supervised.instance.Resample-B1.0-S1-Z174.6478873

@attribute total_loc numeric
@attribute unique_operators numeric
@attribute Faultiness {FALSE,TRUE}

@data
13,4,FALSE
3,4,FALSE
12,8,FALSE
136,13,FALSE
76,14,FALSE
16,5,FALSE
121,19,FALSE
6,6,FALSE
82,12,FALSE
26,9,FALSE
4,6,FALSE
9,7,FALSE
20,4,FALSE
42,9,FALSE
70,12,FALSE
67,13,FALSE
17,5,FALSE
13,4,FALSE
9,8,FALSE
76,19,FALSE
29,10,FALSE
4,6,FALSE
71,14,FALSE
16,12,FALSE
26,13,FALSE
15,5,FALSE
12,8,FALSE
11,8,FALSE
53,16,FALSE
8,5,FALSE
131,17,FALSE
11,4,FALSE
15,5,FALSE
12,8,FALSE
26,5,FALSE
16,12,FALSE
22,9,FALSE
16,12,FALSE
136,13,FALSE
27,9,FALSE
3,4,FALSE
12,8,FALSE
17,5,FALSE
3,4,FALSE
26,13,FALSE
20,6,FALSE
35,13,FALSE
26,9,FALSE
60,9,FALSE
115,13,FALSE
26,9,FALSE
6,6,FALSE
3,4,FALSE
22,9,FALSE
15,5,FALSE
70,12,FALSE
26,13,FALSE
13,4,FALSE
21,8,FALSE
8,5,FALSE
16,5,FALSE
161,11,TRUE
11,12,TRUE
161,11,TRUE
11,12,TRUE
86,11,TRUE
445,19,TRUE
86,11,TRUE
191,22,TRUE
191,22,TRUE
161,11,TRUE
50,14,TRUE
30,18,TRUE
445,19,TRUE
11,12,TRUE
11,12,TRUE
86,11,TRUE
86,11,TRUE
86,11,TRUE
269,26,TRUE
86,11,TRUE
445,19,TRUE
252,20,TRUE
11,12,TRUE
30,18,TRUE
50,14,TRUE
445,19,TRUE
11,12,TRUE
191,22,TRUE
445,19,TRUE
50,14,TRUE
161,11,TRUE
269,26,TRUE
50,14,TRUE
161,11,TRUE
445,19,TRUE
50,14,TRUE
191,22,TRUE
191,22,TRUE
30,18,TRUE
269,26,TRUE
86,11,TRUE
161,11,TRUE
191,22,TRUE
191,22,TRUE
252,20,TRUE
86,11,TRUE
445,19,TRUE
161,11,TRUE
86,11,TRUE
11,12,TRUE
50,14,TRUE
86,11,TRUE
30,18,TRUE
86,11,TRUE
191,22,TRUE
11,12,TRUE
269,26,TRUE
191,22,TRUE
86,11,TRUE
86,11,TRUE
11,12,TRUE
