@relation arA-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N2-F2-weka.filters.supervised.instance.Resample-B1.0-S1-Z174.6478873

@attribute total_loc numeric
@attribute unique_operators numeric
@attribute Faultiness {FALSE,TRUE}

@data
20,4,FALSE
29,9,FALSE
10,4,FALSE
76,19,FALSE
13,4,FALSE
13,4,FALSE
155,29,FALSE
148,16,FALSE
6,9,FALSE
155,29,FALSE
19,13,FALSE
6,6,FALSE
48,11,FALSE
82,11,FALSE
16,12,FALSE
64,14,FALSE
9,8,FALSE
58,14,FALSE
8,4,FALSE
3,6,FALSE
82,12,FALSE
64,14,FALSE
530,12,FALSE
37,15,FALSE
285,15,FALSE
42,8,FALSE
26,13,FALSE
54,13,FALSE
10,4,FALSE
48,11,FALSE
20,6,FALSE
91,14,FALSE
27,9,FALSE
6,6,FALSE
47,7,FALSE
45,9,FALSE
31,5,FALSE
54,13,FALSE
2,2,FALSE
148,16,FALSE
40,11,FALSE
9,4,FALSE
7,6,FALSE
6,6,FALSE
530,12,FALSE
10,4,FALSE
50,6,FALSE
13,4,FALSE
79,10,FALSE
114,23,FALSE
3,5,FALSE
268,23,FALSE
20,4,FALSE
52,13,FALSE
115,13,FALSE
9,4,FALSE
94,18,FALSE
29,9,FALSE
54,6,FALSE
11,8,FALSE
31,10,FALSE
121,19,FALSE
91,14,FALSE
7,4,FALSE
16,12,FALSE
25,16,FALSE
82,12,FALSE
131,17,FALSE
47,7,FALSE
94,18,FALSE
73,12,FALSE
26,13,FALSE
131,17,FALSE
10,4,FALSE
3,6,FALSE
22,9,FALSE
26,5,FALSE
54,6,FALSE
73,13,FALSE
149,17,FALSE
69,9,FALSE
79,10,FALSE
148,16,FALSE
16,8,FALSE
11,8,FALSE
9,8,FALSE
34,11,FALSE
70,12,FALSE
91,5,FALSE
56,7,FALSE
45,9,FALSE
4,4,FALSE
7,4,FALSE
6,5,FALSE
6,6,FALSE
4,5,FALSE
6,5,FALSE
58,11,FALSE
31,10,FALSE
6,6,FALSE
91,14,FALSE
69,9,FALSE
47,7,FALSE
4,5,FALSE
3,5,FALSE
3,6,FALSE
155,29,FALSE
148,16,FALSE
32,11,FALSE
6,5,FALSE
70,12,FALSE
128,16,FALSE
121,19,FALSE
4,5,FALSE
8,12,FALSE
50,6,FALSE
3,6,FALSE
38,11,FALSE
4,5,FALSE
25,16,FALSE
268,23,FALSE
27,9,FALSE
13,4,FALSE
6,7,TRUE
11,12,TRUE
86,11,TRUE
86,11,TRUE
27,9,TRUE
43,14,TRUE
114,12,TRUE
43,14,TRUE
52,17,TRUE
114,12,TRUE
244,17,TRUE
173,31,TRUE
173,31,TRUE
10,11,TRUE
244,17,TRUE
181,6,TRUE
18,6,TRUE
114,12,TRUE
43,14,TRUE
18,6,TRUE
907,20,TRUE
89,20,TRUE
114,12,TRUE
6,7,TRUE
89,20,TRUE
18,6,TRUE
18,6,TRUE
21,9,TRUE
181,6,TRUE
19,9,TRUE
52,17,TRUE
173,31,TRUE
86,11,TRUE
19,9,TRUE
19,9,TRUE
89,20,TRUE
114,12,TRUE
445,19,TRUE
86,11,TRUE
181,6,TRUE
114,12,TRUE
52,17,TRUE
11,12,TRUE
95,19,TRUE
907,20,TRUE
19,9,TRUE
89,20,TRUE
11,12,TRUE
181,6,TRUE
445,19,TRUE
18,6,TRUE
6,7,TRUE
10,11,TRUE
10,11,TRUE
10,11,TRUE
907,20,TRUE
6,7,TRUE
18,6,TRUE
445,19,TRUE
244,17,TRUE
19,9,TRUE
27,9,TRUE
21,9,TRUE
907,20,TRUE
95,19,TRUE
19,9,TRUE
445,19,TRUE
6,7,TRUE
21,9,TRUE
86,11,TRUE
43,14,TRUE
95,19,TRUE
244,17,TRUE
43,14,TRUE
86,11,TRUE
95,19,TRUE
86,11,TRUE
114,12,TRUE
86,11,TRUE
18,6,TRUE
95,19,TRUE
89,20,TRUE
43,14,TRUE
19,9,TRUE
27,9,TRUE
907,20,TRUE
11,12,TRUE
11,12,TRUE
43,14,TRUE
173,31,TRUE
43,14,TRUE
10,11,TRUE
10,11,TRUE
244,17,TRUE
244,17,TRUE
27,9,TRUE
43,14,TRUE
95,19,TRUE
445,19,TRUE
86,11,TRUE
181,6,TRUE
95,19,TRUE
27,9,TRUE
244,17,TRUE
11,12,TRUE
43,14,TRUE
95,19,TRUE
11,12,TRUE
21,9,TRUE
86,11,TRUE
244,17,TRUE
43,14,TRUE
10,11,TRUE
907,20,TRUE
52,17,TRUE
173,31,TRUE
95,19,TRUE
6,7,TRUE
19,9,TRUE
173,31,TRUE
244,17,TRUE
95,19,TRUE
43,14,TRUE
